address,name,labels,name_parsed,0,1,2,3,4
0xb2bc06a4efb20fc6553a69dbfa49b7be938034a7,0x: WETH Transformer,0x-protocol,0x,0x-protocol,,,,
0x12459c951127e0c374ff9105dda097662a027093,0x: Exchange v1,0x-protocol,0x,0x-protocol,,,,
0x17992e4ffb22730138e4b62aaa6367fa9d3699a6,0x: Old Asset Proxy Owner,"0x-protocol,old-contract",0x,0x-protocol,old-contract,,,
0x2240dab907db71e64d3e0dba4800c83b5c502d4e,0x: Old ERC20 Proxy,"0x-protocol,old-contract",0x,0x-protocol,old-contract,,,
0x208e41fb445f1bb1b6780d58356e81405f3e6127,0x: Old ERC721 Proxy,"0x-protocol,old-contract",0x,0x-protocol,old-contract,,,
0x4f833a24e1f95d70f028921e27040ca56e09ab0b,0x: Old Exchange v2.0,"0x-protocol,old-contract",0x,0x-protocol,old-contract,,,
0x7afc2d5107af94c462a194d2c21b5bdd238709d6,0x: Old Forwarder,"0x-protocol,old-contract",0x,0x-protocol,old-contract,,,
0x5468a1dc173652ee28d249c271fa9933144746b1,0x: Old Forwarder 2,"0x-protocol,old-contract",0x,0x-protocol,old-contract,,,
0xdc4587cb17d2a1829512e2cfec621f8066290e6a,0x: Old Forwarder 3,"0x-protocol,old-contract",0x,0x-protocol,old-contract,,,
0x9463e518dea6810309563c81d5266c1b1d149138,0x: Old Order Validator,"0x-protocol,old-contract",0x,0x-protocol,old-contract,,,
0xf8843981e7846945960f53243ca2fd42a579f719,0xSplits: Donate,"0xsplits,donate",0xSplits,0xsplits,donate,,,
0x2ed6c4b5da6378c7897ac67ba9e43102feb694ee,0xSplits: Split Main,0xsplits,0xSplits,0xsplits,,,,
0xd94c0ce4f8eefa4ebf44bf6665688edeef213b33,0xSplits: Split Wallet,0xsplits,0xSplits,0xsplits,,,,
0xe73480759efb6731d133b382ab8df02774e3a265,0xUniverse: Contract 1,0xuniverse,0xUniverse,0xuniverse,,,,
0xf91d60c576fc809bea7a08d45ee3d6d77fbf5ff7,0xUniverse: Contract 2,0xuniverse,0xUniverse,0xuniverse,,,,
0xe658e6eb4b478da2cf36d9e3712ba0c1b33786a1,0xUniverse: Contract 3,0xuniverse,0xUniverse,0xuniverse,,,,
0x06a6a7af298129e3a2ab396c9c06f91d3c54aba8,0xUniverse: PLANET Token,0xuniverse,0xUniverse,0xuniverse,,,,
0xa36a81e47d032cb5608175cf884d079ff7b2fb42,0xUniverse: Wallet 1,0xuniverse,0xUniverse,0xuniverse,,,,
