address,chain,contract,tags_id,tags_label,tags_rank,tags_excludeEntities,tags_tagParams,arkhamLabel_name,arkhamLabel_chainType,name,note,id,type,service,addresses,website,twitter,crunchbase,linkedin
0x76f4eed9fe41262669d0250b2a97db79712ad855,optimism,True,,,,,,,,Odos,,odos,dex-aggregator,,,https://odos.xyz/,https://twitter.com/odosprotocol,,
0x76f4eed9fe41262669d0250b2a97db79712ad855,polygon,False,,,,,,,,Odos,,odos,dex-aggregator,,,https://odos.xyz/,https://twitter.com/odosprotocol,,
0x76f4eed9fe41262669d0250b2a97db79712ad855,sonic,False,,,,,,,,Odos,,odos,dex-aggregator,,,https://odos.xyz/,https://twitter.com/odosprotocol,,
0xcaa6361e4ad457b8f2e78a44662b0de3df646fd3,arbitrum_one,False,,,,,,,,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
0xcaa6361e4ad457b8f2e78a44662b0de3df646fd3,avalanche,False,,,,,,,,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
0xcaa6361e4ad457b8f2e78a44662b0de3df646fd3,base,False,,,,,,,,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
0xcaa6361e4ad457b8f2e78a44662b0de3df646fd3,blast,False,,,,,,,,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
0xcaa6361e4ad457b8f2e78a44662b0de3df646fd3,bsc,False,,,,,,,,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
0xcaa6361e4ad457b8f2e78a44662b0de3df646fd3,ethereum,True,,,,,,liquidity pool,evm,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
0xcaa6361e4ad457b8f2e78a44662b0de3df646fd3,flare,False,,,,,,,,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
